x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1764706,0.9411765,0.99607843,0.5019608,0.0,0.5411765,0.99607843,0.6901961,0.0,0.0,0.0,0.21176471,0.5137255,0.9764706,0.99607843,0.99607843,0.99607843,0.9137255,0.42352942,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59607846,0.99607843,0.73333335,0.043137256,0.0,0.69803923,0.99607843,0.57254905,0.0,0.0,0.39215687,0.94509804,0.99607843,0.99607843,0.99607843,0.99607843,0.5372549,0.09803922,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14117648,0.91764706,0.99607843,0.5568628,0.0,0.0,0.69803923,0.9843137,0.6,0.0,0.4627451,0.9490196,0.99607843,0.99607843,0.99607843,0.8156863,0.25882354,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21960784,0.99607843,0.8901961,0.03137255,0.0,0.0,0.6627451,0.99607843,0.78431374,0.63529414,0.98039216,0.99607843,0.99607843,0.95686275,0.59607846,0.03137255,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5372549,0.99607843,0.6509804,0.0,0.0,0.011764706,0.8235294,0.99607843,0.99607843,0.99607843,0.99607843,0.99607843,0.9490196,0.2509804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7882353,0.99607843,0.52156866,0.0,0.0,0.1254902,0.9843137,0.99607843,0.99607843,0.99607843,0.99607843,0.827451,0.23137255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78039217,0.99607843,0.9843137,0.7490196,0.8235294,0.45490196,0.90588236,0.99607843,0.99607843,0.94509804,0.3529412,0.02745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37254903,0.99607843,0.78431374,0.15686275,0.16862746,0.88235295,0.99607843,0.99607843,0.99607843,0.3882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14509805,0.98039216,0.99607843,0.7764706,0.27450982,0.9490196,0.99607843,0.9882353,0.5882353,0.011764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.827451,0.8980392,0.9647059,0.99607843,0.99607843,0.99607843,0.67058825,0.0627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5921569,0.88235295,0.8745098,0.99607843,1.0,0.9098039,0.09803922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023529412,0.40784314,0.99215686,0.99607843,0.63529414,0.14901961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08235294,0.08235294,0.019607844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
